Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	5_UTR_change	3_UTR_change	Samples
ALL	ENSG00000004399.12	PLXND1	ENST00000324093.8	ENST00000504689.1	1	1	1	1	1	SRR1288051,SRR1292964,SRR1791086
ALL	ENSG00000004399.12	PLXND1	ENST00000512807.1	ENST00000504524.5	0	0	0	1	0	SRR1288007,SRR1293039
ALL	ENSG00000004399.12	PLXND1	ENST00000504979.1	ENST00000512807.1	0	0	0	1	0	SRR1288010,SRR1791070
ALL	ENSG00000004399.12	PLXND1	ENST00000324093.8	ENST00000514990.1	1	0	1	1	1	SRR1288015
ALL	ENSG00000004399.12	PLXND1	ENST00000511018.1	ENST00000505505.1	0	0	0	1	0	SRR1288037
ALL	ENSG00000004399.12	PLXND1	ENST00000504979.1	ENST00000501038.6	0	0	0	1	0	SRR1288040
ALL	ENSG00000004399.12	PLXND1	ENST00000504979.1	ENST00000504689.1	0	1	1	1	1	SRR1292980
ALL	ENSG00000004399.12	PLXND1	ENST00000324093.8	ENST00000504979.1	1	0	1	1	1	SRR1293029
ALL	ENSG00000004399.12	PLXND1	ENST00000324093.8	ENST00000504767.5	1	0	1	1	1	SRR1293032
ALL	ENSG00000004399.12	PLXND1	ENST00000512807.1	ENST00000503166.1	0	0	0	1	0	SRR1791015
ALL	ENSG00000004399.12	PLXND1	ENST00000504689.1	ENST00000504979.1	1	0	1	1	1	SRR1791023
ALL	ENSG00000004399.12	PLXND1	ENST00000512807.1	ENST00000508630.1	0	0	0	1	0	SRR1791047
ALL	ENSG00000004399.12	PLXND1	ENST00000504979.1	ENST00000508630.1	0	0	0	1	0	SRR1791094
ALL	ENSG00000004399.12	PLXND1	ENST00000508630.1	ENST00000501038.6	0	0	0	1	0	SRR1791102
ALL	ENSG00000004399.12	PLXND1	ENST00000508630.1	ENST00000503166.1	0	0	0	1	0	SRR1791107
ALL	ENSG00000004399.12	PLXND1	ENST00000504689.1	ENST00000504524.5	1	0	1	1	1	SRR1791118
ALL	ENSG00000004399.12	PLXND1	ENST00000501038.6	ENST00000512807.1	0	0	0	1	0	SRR1797075
ALL	ENSG00000004399.12	PLXND1	ENST00000504524.5	ENST00000504689.1	0	1	1	1	1	SRR1797099
ALL	ENSG00000004399.12	PLXND1	ENST00000504979.1	ENST00000505505.1	0	0	0	1	0	SRR5912867
ALL	ENSG00000104419.14	NDRG1	ENST00000323851.11	ENST00000519278.5	1	0	1	1	1	SRR1292990,SRR5912867,SRR5912871
ALL	ENSG00000104419.14	NDRG1	ENST00000523931.1	ENST00000521664.1	0	0	0	1	0	SRR1288051,SRR1292964
ALL	ENSG00000104419.14	NDRG1	ENST00000323851.11	ENST00000521026.5	1	0	1	1	1	SRR1797099,SRR1797102
ALL	ENSG00000104419.14	NDRG1	ENST00000537882.2	ENST00000522665.5	1	0	1	1	1	SRR1288028
ALL	ENSG00000104419.14	NDRG1	ENST00000537882.2	ENST00000522476.5	1	1	1	1	1	SRR1288032
ALL	ENSG00000104419.14	NDRG1	ENST00000537882.2	ENST00000518094.1	1	0	1	1	1	SRR1288040
ALL	ENSG00000104419.14	NDRG1	ENST00000323851.11	ENST00000523642.1	1	0	1	1	1	SRR1288079
ALL	ENSG00000104419.14	NDRG1	ENST00000537882.2	ENST00000517599.5	1	0	1	1	1	SRR1292980
ALL	ENSG00000104419.14	NDRG1	ENST00000523642.1	ENST00000521414.5	0	0	0	1	0	SRR1293039
ALL	ENSG00000104419.14	NDRG1	ENST00000518094.1	ENST00000517745.1	0	0	0	1	0	SRR1791086
ALL	ENSG00000104419.14	NDRG1	ENST00000521664.1	ENST00000522665.5	0	0	0	1	0	SRR1791107
ALL	ENSG00000104419.14	NDRG1	ENST00000522665.5	ENST00000518094.1	0	0	0	1	0	SRR1797075
ALL	ENSG00000104419.14	NDRG1	ENST00000521664.1	ENST00000517745.1	0	0	0	1	0	SRR1797106
ALL	ENSG00000104419.14	NDRG1	ENST00000517745.1	ENST00000523931.1	0	0	0	1	0	SRR5912876
ALL	ENSG00000117448.13	AKR1A1	ENST00000351829.8	ENST00000497973.5	1	0	1	1	1	SRR1288013,SRR1288028,SRR1288086,SRR1293052,SRR1790995,SRR1791015,SRR1797071,SRR1797080
ALL	ENSG00000117448.13	AKR1A1	ENST00000351829.8	ENST00000473038.5	1	0	1	1	1	SRR1288044,SRR1797116
ALL	ENSG00000117448.13	AKR1A1	ENST00000475985.1	ENST00000372070.7	0	1	1	1	1	SRR1288036
ALL	ENSG00000117448.13	AKR1A1	ENST00000496999.5	ENST00000476957.5	0	0	0	1	0	SRR1292980
ALL	ENSG00000117448.13	AKR1A1	ENST00000471651.1	ENST00000475985.1	1	0	1	1	1	SRR1293022
ALL	ENSG00000117448.13	AKR1A1	ENST00000476957.5	ENST00000372070.7	0	1	1	1	1	SRR1293029
ALL	ENSG00000117448.13	AKR1A1	ENST00000372070.7	ENST00000475985.1	1	0	1	1	1	SRR1797097
ALL	ENSG00000117448.13	AKR1A1	ENST00000351829.8	ENST00000475985.1	1	0	1	1	1	SRR1797119
ALL	ENSG00000115694.14	STK25	ENST00000494699.1	ENST00000403346.7	0	1	1	1	1	SRR1288032,SRR1288055,SRR1797103
ALL	ENSG00000115694.14	STK25	ENST00000494699.1	ENST00000401869.5	0	1	1	1	1	SRR1293052,SRR1790995,SRR1791102
ALL	ENSG00000115694.14	STK25	ENST00000494699.1	ENST00000405585.5	0	1	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000115694.14	STK25	ENST00000495372.1	ENST00000492127.5	0	0	0	1	0	SRR5912867,SRR5912876
ALL	ENSG00000115694.14	STK25	ENST00000479442.1	ENST00000461760.1	0	0	0	1	0	SRR1292980
ALL	ENSG00000115694.14	STK25	ENST00000535007.5	ENST00000487962.5	1	0	1	1	1	SRR1293029
ALL	ENSG00000115694.14	STK25	ENST00000462953.1	ENST00000316586.8	0	1	1	1	1	SRR1293032
ALL	ENSG00000115694.14	STK25	ENST00000405883.7	ENST00000461760.1	1	0	1	1	1	SRR1293050
ALL	ENSG00000115694.14	STK25	ENST00000495372.1	ENST00000487962.5	0	0	0	1	0	SRR1797119
ALL	ENSG00000115694.14	STK25	ENST00000495143.5	ENST00000492127.5	0	0	0	1	0	SRR5912871
ALL	ENSG00000144895.11	EIF2A	ENST00000460851.5	ENST00000273435.9	1	1	1	1	0	SRR1288056,SRR1293053,SRR1293055,SRR1293058,SRR1791029,SRR1797070,SRR1797075,SRR1797083,SRR1797099
ALL	ENSG00000144895.11	EIF2A	ENST00000460851.5	ENST00000472926.1	1	0	1	1	1	SRR1288044,SRR1293047,SRR1797116
ALL	ENSG00000144895.11	EIF2A	ENST00000474505.5	ENST00000473499.1	0	0	0	1	0	SRR1288051,SRR1292964
ALL	ENSG00000144895.11	EIF2A	ENST00000406576.7	ENST00000487799.5	1	1	1	1	1	SRR5912867
ALL	ENSG00000144895.11	EIF2A	ENST00000469331.1	ENST00000487799.5	0	1	1	1	1	SRR5912871
ALL	ENSG00000079459.12	FDFT1	ENST00000525571.1	ENST00000525551.1	0	0	0	1	0	SRR1288051,SRR1292964
ALL	ENSG00000079459.12	FDFT1	ENST00000623368.3	ENST00000525283.5	1	0	1	1	1	SRR1288020
ALL	ENSG00000079459.12	FDFT1	ENST00000525283.5	ENST00000529464.5	0	0	0	1	0	SRR1288031
ALL	ENSG00000079459.12	FDFT1	ENST00000528643.5	ENST00000525607.5	1	0	1	1	1	SRR1292980
ALL	ENSG00000079459.12	FDFT1	ENST00000528643.5	ENST00000525571.1	1	0	1	1	1	SRR1293029
ALL	ENSG00000079459.12	FDFT1	ENST00000525283.5	ENST00000527045.1	0	0	0	1	0	SRR1293032
ALL	ENSG00000079459.12	FDFT1	ENST00000525283.5	ENST00000525607.5	0	0	0	1	0	SRR1293034
ALL	ENSG00000079459.12	FDFT1	ENST00000525571.1	ENST00000538689.4	0	1	1	1	1	SRR1293053
ALL	ENSG00000079459.12	FDFT1	ENST00000527045.1	ENST00000443614.6	0	1	1	1	1	SRR1791045
ALL	ENSG00000079459.12	FDFT1	ENST00000525571.1	ENST00000446331.6	0	0	0	1	0	SRR1791086
ALL	ENSG00000079459.12	FDFT1	ENST00000623368.3	ENST00000529464.5	1	0	1	1	1	SRR1797084
ALL	ENSG00000079459.12	FDFT1	ENST00000527045.1	ENST00000530664.5	0	1	1	1	1	SRR1797106
ALL	ENSG00000079459.12	FDFT1	ENST00000530664.5	ENST00000443614.6	1	1	1	1	1	SRR5912867
ALL	ENSG00000079459.12	FDFT1	ENST00000525571.1	ENST00000530664.5	0	1	1	1	1	SRR5912871
ALL	ENSG00000079459.12	FDFT1	ENST00000531733.1	ENST00000530664.5	0	1	1	1	1	SRR5912876
ALL	ENSG00000078674.17	PCM1	ENST00000522998.1	ENST00000519253.5	0	1	1	1	1	SRR1288069,SRR1797089
ALL	ENSG00000078674.17	PCM1	ENST00000519802.5	ENST00000524356.1	0	0	0	1	0	SRR5912867,SRR5912871
ALL	ENSG00000078674.17	PCM1	ENST00000523540.1	ENST00000518936.5	0	0	0	1	0	SRR1288020
ALL	ENSG00000078674.17	PCM1	ENST00000518537.5	ENST00000518936.5	1	0	1	1	1	SRR1288027
ALL	ENSG00000078674.17	PCM1	ENST00000523540.1	ENST00000517545.5	0	0	0	1	0	SRR1288051
ALL	ENSG00000078674.17	PCM1	ENST00000524226.5	ENST00000517836.5	1	0	1	1	1	SRR1288055
ALL	ENSG00000078674.17	PCM1	ENST00000523896.1	ENST00000522777.1	0	0	0	1	0	SRR1292964
ALL	ENSG00000078674.17	PCM1	ENST00000518985.1	ENST00000517836.5	0	0	0	1	0	SRR1292980
ALL	ENSG00000078674.17	PCM1	ENST00000518537.5	ENST00000522998.1	1	0	1	1	1	SRR1790996
ALL	ENSG00000078674.17	PCM1	ENST00000523540.1	ENST00000517836.5	0	0	0	1	0	SRR1791001
ALL	ENSG00000078674.17	PCM1	ENST00000518936.5	ENST00000325083.12	0	1	1	1	1	SRR1791102
ALL	ENSG00000078674.17	PCM1	ENST00000518537.5	ENST00000325083.12	1	1	1	1	1	SRR1797103
