Experiment	GeneId	Control_transcript	Case_transcript	Other_gene	Other_symbol	Other_transcript	What	#nDDIs	#tDDIs	#BothDDIs	nDDIs	tDDIs	BothDDIs
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000356769.7	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000552540.5	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000546392.5	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000454682.5	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000393891.8	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000550952.5	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000196531.10	NACA	ENST00000548563.5	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000145741.15	ENST00000335895.12	ENST00000380591.7	ENSG00000253506.2	NACA2	ENST00000521764.2	Unaffected	0	0	1			PF01849@PF01849
AML	ENSG00000141232.4	ENST00000499247.2	ENST00000268957.3	ENSG00000198791.11	CNOT7	ENST00000523917.5	Unaffected	0	0	1			PF07742@PF04857
AML	ENSG00000141232.4	ENST00000499247.2	ENST00000268957.3	ENSG00000198791.11	CNOT7	ENST00000628418.1	Unaffected	0	0	1			PF07742@PF04857
AML	ENSG00000141232.4	ENST00000499247.2	ENST00000268957.3	ENSG00000198791.11	CNOT7	ENST00000361272.8	Unaffected	0	0	1			PF07742@PF04857
