Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000095794.19	ENST00000356917.9	ENST00000488328.5	Prosite	PS00036	Nothing	1	56	70	56	70	0.6	0.19148936170212766	0.16981132075471697	0.6	0.1875	0.16666666666666666
ALL	ENSG00000095794.19	ENST00000488741.5	ENST00000482633.5	Prosite	PS00036	Lost_in_cases	1	50	64	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000095794.19	ENST00000463314.5	ENST00000374726.7	Prosite	PS00036	Lost_in_cases	1	85	99	nan	nan	1.0	0.10869565217391304	0.10869565217391304	nan	nan	nan
ALL	ENSG00000095794.19	ENST00000474362.5	ENST00000490460.5	Prosite	PS00036	Lost_in_cases	1	43	57	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000095794.19	ENST00000374721.7	ENST00000395887.7	Prosite	PS00036	Nothing	1	217	231	229	243	0.6	0.19148936170212766	0.16981132075471697	0.6	0.1875	0.16666666666666666
ALL	ENSG00000095794.19	ENST00000439705.5	ENST00000460270.5	Prosite	PS00036	Nothing	1	196	210	43	57	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000095794.19	ENST00000374734.7	ENST00000474362.5	Prosite	PS00036	Nothing	1	184	198	43	57	0.6	0.19148936170212766	0.16981132075471697	0.6	0.1875	0.16666666666666666
ALL	ENSG00000095794.19	ENST00000474362.5	ENST00000374734.7	Prosite	PS00036	Nothing	1	43	57	184	198	0.6	0.1875	0.16666666666666666	0.6	0.19148936170212766	0.16981132075471697
ALL	ENSG00000095794.19	ENST00000395887.7	ENST00000490460.5	Prosite	PS00036	Lost_in_cases	1	229	243	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000095794.19	ENST00000490460.5	ENST00000460270.5	Prosite	PS00036	Gained_in_cases	1	nan	nan	43	57	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000095794.19	ENST00000479070.5	ENST00000472813.1	Prosite	PS00036	Lost_in_cases	1	259	273	nan	nan	1.0	1.0	1.0	nan	nan	nan
