Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	5_UTR_change	3_UTR_change	Samples
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000452431.5	0	0	0	1	0	TARGET-20-PABLDZ-04,TARGET-20-PATDNN-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000625888.2	0	0	0	1	0	TARGET-20-PALGKX-04,TARGET-20-PARTAL-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000627019.1	0	0	0	1	0	TARGET-20-PADZCG-04,TARGET-20-PASGZS-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000612202.4	ENST00000457770.5	0	0	0	1	0	TARGET-20-PASXNR-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000628102.2	0	0	0	1	0	TARGET-20-PAPXRJ-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000600002.5	0	0	0	1	0	TARGET-20-PAEDKB-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000599673.5	0	0	0	1	0	TARGET-20-PASCGR-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000627542.2	ENST00000625227.2	0	0	0	1	0	TARGET-20-PASJGZ-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000628102.2	0	0	0	1	0	TARGET-20-PARYFN-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000439892.5	0	0	0	1	0	TARGET-20-PARCZL-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000612876.4	0	0	0	1	0	TARGET-20-PAMYAS-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000625518.2	ENST00000419542.3	0	0	0	1	0	TARGET-20-PARUNX-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000626842.2	ENST00000612202.4	0	0	0	1	0	TARGET-20-PAEIKD-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000612202.4	ENST00000627019.1	0	0	0	1	0	TARGET-20-PASWAJ-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000421255.5	0	0	0	1	0	TARGET-20-PARLVL-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000435880.6	ENST00000425333.5	0	0	0	1	0	TARGET-20-PASBBE-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000625257.2	0	0	0	1	0	TARGET-20-PASCRZ-04
AML	ENSG00000179818.13	PCBP1-AS1	ENST00000626842.2	ENST00000444410.5	0	0	0	1	0	TARGET-20-PASVYA-04
