Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	5_UTR_change	3_UTR_change	Samples
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000439670.6	ENST00000626509.2	0	0	0	1	0	TARGET-10-PATCTI-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628263.2	ENST00000457770.5	0	0	0	1	0	TARGET-10-PAPJHB-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000415060.6	ENST00000626574.2	0	0	0	1	0	TARGET-10-PARGFV-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629212.2	ENST00000596573.5	0	0	0	1	0	TARGET-10-PARJSR-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000627074.2	ENST00000629825.2	0	0	0	1	0	TARGET-10-PAPIJB-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628322.2	ENST00000629374.2	0	0	0	1	0	TARGET-10-PARIAD-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628322.2	ENST00000630520.2	0	0	0	1	0	TARGET-10-PASKAY-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000630759.2	ENST00000439892.5	0	0	0	1	0	TARGET-10-PAPZNK-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629415.2	ENST00000598586.1	0	0	0	1	0	TARGET-10-PARMXF-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629188.2	ENST00000418564.5	0	0	0	1	0	TARGET-10-PAPEFH-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000610168.1	ENST00000418564.5	0	0	0	1	0	TARGET-10-PAPLDL-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000625490.2	ENST00000419963.5	0	0	0	1	0	TARGET-10-PAPVTA-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000626495.2	ENST00000599673.5	0	0	0	1	0	TARGET-10-PAPLTZ-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628263.2	ENST00000630685.2	0	0	0	1	0	TARGET-10-PAPSPG-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000415742.5	ENST00000457770.5	0	0	0	1	0	TARGET-10-PARBRK-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628322.2	ENST00000439892.5	0	0	0	1	0	TARGET-10-PAPSPN-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000626574.2	ENST00000434781.5	0	0	0	1	0	TARGET-10-PAPDJM-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000457076.5	0	0	0	1	0	TARGET-10-PANXPE-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000627542.2	ENST00000630520.2	0	0	0	1	0	TARGET-10-PAPEJN-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000627487.2	ENST00000442040.5	0	0	0	1	0	TARGET-10-PARJZZ-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000625724.1	ENST00000630377.2	0	0	0	1	0	TARGET-10-PAPNNX-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628551.2	ENST00000625955.2	0	0	0	1	0	TARGET-10-PARGVZ-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000415742.5	ENST00000418564.5	0	0	0	1	0	TARGET-10-PAPDWT-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000630520.2	ENST00000418564.5	0	0	0	1	0	TARGET-10-PARFTR-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000612876.4	ENST00000424748.1	0	0	0	1	0	TARGET-10-PANSHK-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000625788.2	0	0	0	1	0	TARGET-10-PAPJIB-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000614826.4	ENST00000425601.5	0	0	0	1	0	TARGET-10-PARPRW-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000442040.5	ENST00000629943.2	0	0	0	1	0	TARGET-10-PARFLV-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629836.2	ENST00000595459.5	0	0	0	1	0	TARGET-10-PARNMF-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000444320.5	ENST00000596665.5	0	0	0	1	0	TARGET-10-PAPECF-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000630975.2	ENST00000625788.2	0	0	0	1	0	TARGET-10-PARBVI-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000625257.2	0	0	0	1	0	TARGET-10-PANUSN-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629506.2	ENST00000419963.5	0	0	0	1	0	TARGET-10-PAPGFP-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000423402.5	0	0	0	1	0	TARGET-10-PARLAF-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000601396.5	0	0	0	1	0	TARGET-10-PAPACP-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000626609.2	ENST00000601396.5	0	0	0	1	0	TARGET-10-PARGHW-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000625439.2	ENST00000627019.1	0	0	0	1	0	TARGET-10-PANYGB-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629212.2	ENST00000439892.5	0	0	0	1	0	TARGET-10-PAPISG-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000628883.2	ENST00000603347.5	0	0	0	1	0	TARGET-10-PANZPJ-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000413791.5	0	0	0	1	0	TARGET-10-PAPNMY-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000609543.5	0	0	0	1	0	TARGET-10-PAPZST-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629836.2	ENST00000366234.7	0	0	0	1	0	TARGET-10-PAPAGK-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629605.2	ENST00000452431.5	0	0	0	1	0	TARGET-10-PARMSP-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000601494.1	ENST00000418564.5	0	0	0	1	0	TARGET-10-PAPNFY-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000631107.2	ENST00000439892.5	0	0	0	1	0	TARGET-10-PAPRCS-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000439892.5	ENST00000629339.2	0	0	0	1	0	TARGET-10-PASFXA-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000625490.2	ENST00000416068.5	0	0	0	1	0	TARGET-10-PARAKF-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000627487.2	ENST00000434781.5	0	0	0	1	0	TARGET-10-PANYYV-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000610168.1	ENST00000630377.2	0	0	0	1	0	TARGET-10-PAPPGN-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000629212.2	ENST00000418564.5	0	0	0	1	0	TARGET-10-PAPEAB-04
ALL	ENSG00000179818.13	PCBP1-AS1	ENST00000416395.5	ENST00000627528.2	0	0	0	1	0	TARGET-10-PARXMC-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000630892.2	0	0	0	1	0	TARGET-10-PAPHJF-04,TARGET-10-PAPMVB-04,TARGET-10-PARLAF-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000601499.5	0	0	0	1	0	TARGET-10-PAPISG-04,TARGET-10-PARGFV-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000598737.5	0	0	0	1	0	TARGET-10-PARGHW-04,TARGET-10-PASKAY-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000627399.2	0	0	0	1	0	TARGET-10-PAPEFH-04,TARGET-10-PARMSP-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000604793.5	0	0	0	1	0	TARGET-10-PAPDJM-04,TARGET-10-PAPRCS-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000428157.1	0	0	0	1	0	TARGET-10-PAPNMY-04,TARGET-10-PARFTR-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000599015.5	0	0	0	1	0	TARGET-10-PAPACP-04,TARGET-10-PARFLV-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000445382.6	0	0	0	1	0	TARGET-10-PANCVR-04,TARGET-10-PAPGFP-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000597654.5	0	0	0	1	0	TARGET-10-PANZPJ-04,TARGET-10-PASFXA-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000450072.5	0	0	0	1	0	TARGET-10-PATCTI-04
ALL	ENSG00000228486.9	LINC01125	ENST00000599015.5	ENST00000445382.6	0	0	0	1	0	TARGET-10-PAPMFI-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000596356.5	0	0	0	1	0	TARGET-10-PARJSR-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000631246.2	0	0	0	1	0	TARGET-10-PAPIJB-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000598144.5	0	0	0	1	0	TARGET-10-PARIAD-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000599435.5	0	0	0	1	0	TARGET-10-PAPZNK-04
ALL	ENSG00000228486.9	LINC01125	ENST00000609004.1	ENST00000604793.5	0	0	0	1	0	TARGET-10-PARMXF-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000601509.5	0	0	0	1	0	TARGET-10-PAPVTA-04
ALL	ENSG00000228486.9	LINC01125	ENST00000609004.1	ENST00000608777.5	0	0	0	1	0	TARGET-10-PAPSPN-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000596740.5	0	0	0	1	0	TARGET-10-PANXPE-04
ALL	ENSG00000228486.9	LINC01125	ENST00000608777.5	ENST00000428157.1	0	0	0	1	0	TARGET-10-PARJZZ-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000627284.2	0	0	0	1	0	TARGET-10-PAPNNX-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000631224.2	0	0	0	1	0	TARGET-10-PAPDWT-04
ALL	ENSG00000228486.9	LINC01125	ENST00000599666.5	ENST00000609418.1	0	0	0	1	0	TARGET-10-PANSHK-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000596529.5	0	0	0	1	0	TARGET-10-PANSDA-04
ALL	ENSG00000228486.9	LINC01125	ENST00000604793.5	ENST00000596740.5	0	0	0	1	0	TARGET-10-PARPRW-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000600606.5	0	0	0	1	0	TARGET-10-PARBVI-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000628434.1	0	0	0	1	0	TARGET-10-PANUSN-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000603172.5	0	0	0	1	0	TARGET-10-PAPZST-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000451384.6	0	0	0	1	0	TARGET-10-PAPAGK-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000605331.3	0	0	0	1	0	TARGET-10-PAPNFY-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000599959.5	0	0	0	1	0	TARGET-10-PARAKF-04
ALL	ENSG00000228486.9	LINC01125	ENST00000609004.1	ENST00000627399.2	0	0	0	1	0	TARGET-10-PARXMC-04
ALL	ENSG00000228486.9	LINC01125	ENST00000615201.4	ENST00000608777.5	0	0	0	1	0	TARGET-10-PAPLDM-04
ALL	ENSG00000242086.8	LINC00969	ENST00000628053.2	ENST00000451228.5	0	0	0	1	0	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04
