Experiment	GeneId	Control_transcript	Case_transcript	Other_gene	Other_symbol	Other_transcript	What	#nDDIs	#tDDIs	#BothDDIs	nDDIs	tDDIs	BothDDIs
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000389272.7	Lost_in_cases	3	0	0	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000404395.3	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000170581.13	STAT2	ENST00000418572.6	Lost_in_cases	3	0	0	PF01017@PF02864;PF02865@PF02864;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000055332.16	EIF2AK2	ENST00000233057.8	Lost_in_cases	2	0	0	PF02865@PF00069;PF01017@PF00069		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000264657.9	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000055332.16	EIF2AK2	ENST00000405334.5	Lost_in_cases	2	0	0	PF02865@PF00069;PF01017@PF00069		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000361099.7	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000392322.7	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000163932.13	PRKCD	ENST00000394729.6	Lost_in_cases	2	0	0	PF02865@PF00069;PF01017@PF00069		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000392323.6	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000163932.13	PRKCD	ENST00000330452.7	Lost_in_cases	2	0	0	PF02865@PF00069;PF01017@PF00069		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000096968.13	JAK2	ENST00000381652.3	Lost_in_cases	1	0	0	PF01017@PF00017		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000588969.5	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000197122.11	SRC	ENST00000358208.8	Lost_in_cases	1	0	0	PF01017@PF00017		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000409465.5	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000213928.8	IRF9	ENST00000396864.7	Lost_in_cases	1	0	0	PF01017@PF10401		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000452281.5	Lost_in_cases	1	0	0	PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000197122.11	SRC	ENST00000373567.6	Lost_in_cases	1	0	0	PF01017@PF00017		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000170581.13	STAT2	ENST00000557235.5	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
