Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	Pfam	PF01017	Gained_in_cases	1	nan	nan	141	317	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	Pfam	PF00017	Gained_in_cases	1	nan	nan	580	640	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	Pfam	PF02865	Gained_in_cases	1	nan	nan	4	121	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	Pfam	PF02864	Gained_in_cases	1	nan	nan	319	568	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	Pfam	PF01017	Lost_in_cases	1	139	315	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	Pfam	PF00017	Lost_in_cases	1	578	638	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	Pfam	PF02865	Lost_in_cases	1	2	119	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	Pfam	PF02864	Lost_in_cases	1	317	566	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104447.12	ENST00000519674.1	ENST00000395715.7	Pfam	PF00320	Gained_in_cases	1	nan	nan	909	942	nan	nan	nan	1.0	0.08629441624365482	0.08629441624365482
ALL	ENSG00000172164.13	ENST00000517992.1	ENST00000519298.1	Pfam	PF00169	Lost_in_cases	1	325	432	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000172164.13	ENST00000517992.1	ENST00000519298.1	Pfam	PF00595	Lost_in_cases	1	114	191	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104894.11	ENST00000535669.6	ENST00000600121.1	Pfam	PF00335	Lost_in_cases	1	11	258	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104894.11	ENST00000598095.5	ENST00000391859.6	Pfam	PF00335	Lost_in_cases	1	2	190	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104894.11	ENST00000535669.6	ENST00000426897.6	Pfam	PF00335	Nothing	1	11	258	2	200	0.24193548387096775	0.7317073170731707	0.2222222222222222	0.06030150753768844	0.48	0.05660377358490566
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375486.8	Pfam	PF08526	Gained_in_cases	1	nan	nan	1	114	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375486.8	Pfam	PF03068	Gained_in_cases	1	nan	nan	284	662	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375486.8	Pfam	PF08527	Gained_in_cases	1	nan	nan	116	274	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375481.1	Pfam	PF08526	Gained_in_cases	1	nan	nan	1	114	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375481.1	Pfam	PF03068	Gained_in_cases	1	nan	nan	284	436	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117115.12	ENST00000466151.1	ENST00000375481.1	Pfam	PF08527	Gained_in_cases	1	nan	nan	116	274	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000121310.16	ENST00000371522.8	ENST00000487040.1	Pfam	PF00378	Lost_in_cases	1	40	291	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000462951.2	Pfam	PF01023	Lost_in_cases	1	7	42	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000496817.5	Pfam	PF01023	Nothing	1	7	42	7	42	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000143222.11	ENST00000368003.5	ENST00000483191.5	Pfam	PF08694	Lost_in_cases	1	7	160	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000143851.15	ENST00000309017.7	ENST00000462815.5	Pfam	PF00102	Lost_in_cases	1	225	452	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000198570.5	ENST00000484910.1	ENST00000367002.4	Pfam	PF14473	Gained_in_cases	1	nan	nan	5	133	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000075884.13	ENST00000295095.10	ENST00000552289.1	Pfam	PF00169	Lost_in_cases	1	80	188	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000075884.13	ENST00000295095.10	ENST00000552289.1	Pfam	PF00620	Lost_in_cases	1	295	444	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000075884.13	ENST00000295095.10	ENST00000549436.5	Pfam	PF00169	Lost_in_cases	1	80	188	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000075884.13	ENST00000295095.10	ENST00000549436.5	Pfam	PF00620	Lost_in_cases	1	295	444	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000091181.19	ENST00000256452.7	ENST00000383846.5	Pfam	PF09240	Nothing	1	131	236	131	236	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000091181.19	ENST00000383846.5	ENST00000311981.12	Pfam	PF09240	Nothing	1	131	236	131	236	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000170293.8	ENST00000458535.6	ENST00000307526.3	Pfam	PF01284	Gained_in_cases	1	nan	nan	36	162	nan	nan	nan	0.4566929133858268	1.0	0.4566929133858268
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00595	Lost_in_cases	1	971	1061	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00595	Lost_in_cases	2	819	893	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00595	Lost_in_cases	3	1124	1199	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00595	Lost_in_cases	4	644	720	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00595	Lost_in_cases	5	475	541	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF16663	Lost_in_cases	1	202	261	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00397	Lost_in_cases	1	302	331	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00397	Lost_in_cases	2	361	390	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF00625	Lost_in_cases	1	139	190	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000151276.23	ENST00000402939.6	ENST00000470990.5	Pfam	PF16666	Lost_in_cases	1	722	812	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000017260.19	ENST00000508532.5	ENST00000513801.5	Pfam	PF00689	Nothing	1	726	897	710	881	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000508532.5	ENST00000513801.5	Pfam	PF00122	Nothing	1	106	339	90	323	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000508532.5	ENST00000513801.5	Pfam	PF00702	Nothing	1	345	656	329	640	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000508532.5	ENST00000513801.5	Pfam	PF00690	Nothing	1	27	94	11	78	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000533801.6	ENST00000328560.12	Pfam	PF00689	Nothing	1	726	877	726	877	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000533801.6	ENST00000328560.12	Pfam	PF00122	Nothing	1	106	339	106	339	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000533801.6	ENST00000328560.12	Pfam	PF00702	Nothing	1	345	656	345	656	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000017260.19	ENST00000533801.6	ENST00000328560.12	Pfam	PF00690	Nothing	1	27	94	27	94	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000164307.12	ENST00000443439.6	ENST00000507859.1	Pfam	PF01433	Lost_in_cases	1	53	441	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000164307.12	ENST00000443439.6	ENST00000507859.1	Pfam	PF11838	Lost_in_cases	1	597	916	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000112419.14	ENST00000536245.1	ENST00000427704.6	Pfam	PF02755	Gained_in_cases	1	nan	nan	62	83	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000112419.14	ENST00000536245.1	ENST00000427704.6	Pfam	PF02755	Gained_in_cases	2	nan	nan	555	577	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000112419.14	ENST00000536245.1	ENST00000427704.6	Pfam	PF02755	Gained_in_cases	3	nan	nan	517	538	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000112419.14	ENST00000536245.1	ENST00000427704.6	Pfam	PF02755	Gained_in_cases	4	nan	nan	479	500	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000122779.17	ENST00000415680.6	ENST00000343526.8	Pfam	PF00628	Nothing	1	795	837	829	871	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000122779.17	ENST00000415680.6	ENST00000343526.8	Pfam	PF00643	Nothing	1	220	257	220	257	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000122779.17	ENST00000415680.6	ENST00000343526.8	Pfam	PF00439	Nothing	1	874	955	908	989	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000033100.16	ENST00000035307.6	ENST00000495645.5	Pfam	PF05679	Nothing	1	242	759	234	751	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000156675.15	ENST00000524118.1	ENST00000522727.5	Pfam	PF09457	Gained_in_cases	1	nan	nan	444	491	nan	nan	nan	1.0	0.6666666666666666	0.6666666666666666
ALL	ENSG00000164764.10	ENST00000297354.6	ENST00000519697.1	Pfam	PF00090	Lost_in_cases	1	78	113	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00307	Gained_in_cases	1	nan	nan	43	145	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00307	Gained_in_cases	2	nan	nan	159	263	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00681	Gained_in_cases	1	nan	nan	4143	4172	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00681	Gained_in_cases	2	nan	nan	3132	3172	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00681	Gained_in_cases	3	nan	nan	3463	3503	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00681	Gained_in_cases	4	nan	nan	4386	4425	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000178209.14	ENST00000532346.1	ENST00000345136.7	Pfam	PF00681	Gained_in_cases	5	nan	nan	3927	3967	nan	nan	nan	1.0	1.0	1.0
