Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000104447.12	ENST00000519674.1	ENST00000395715.7	Prosite	PS00028	Gained_in_cases	1	nan	nan	1258	1280	nan	nan	nan	1.0	0.0583756345177665	0.0583756345177665
ALL	ENSG00000104447.12	ENST00000519674.1	ENST00000395715.7	Prosite	PS00028	Gained_in_cases	2	nan	nan	1230	1250	nan	nan	nan	1.0	0.0532994923857868	0.0532994923857868
ALL	ENSG00000104447.12	ENST00000519674.1	ENST00000395715.7	Prosite	PS00344	Gained_in_cases	1	nan	nan	909	933	nan	nan	nan	1.0	0.06345177664974619	0.06345177664974619
ALL	ENSG00000104894.11	ENST00000535669.6	ENST00000600121.1	Prosite	PS00421	Lost_in_cases	1	65	87	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104894.11	ENST00000535669.6	ENST00000426897.6	Prosite	PS00421	Lost_in_cases	1	65	87	nan	nan	0.17391304347826086	0.058823529411764705	0.04597701149425287	nan	nan	nan
ALL	ENSG00000121310.16	ENST00000371522.8	ENST00000487040.1	Prosite	PS00166	Lost_in_cases	1	129	149	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000462951.2	Prosite	PS00303	Lost_in_cases	1	56	77	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000462951.2	Prosite	PS00018	Lost_in_cases	1	61	73	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000496817.5	Prosite	PS00303	Nothing	1	56	77	56	77	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000197956.9	ENST00000368719.8	ENST00000496817.5	Prosite	PS00018	Nothing	1	61	73	61	73	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000143851.15	ENST00000309017.7	ENST00000462815.5	Prosite	PS00383	Lost_in_cases	1	394	404	nan	nan	1.0	1.0	1.0	nan	nan	nan
