Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01833	Lost_in_cases	1	1069	1143	nan	nan	1.0	0.04067245119305857	0.04067245119305857	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01833	Lost_in_cases	2	891	972	nan	nan	1.0	0.044468546637744036	0.044468546637744036	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01833	Lost_in_cases	3	981	1063	nan	nan	1.0	0.045010845986984814	0.045010845986984814	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01403	Lost_in_cases	1	62	524	nan	nan	1.0	0.25108459869848154	0.25108459869848154	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF08337	Nothing	1	1345	1888	1	43	0.9209558823529411	0.26620616365568545	0.26025974025974025	0.0	nan	0.0
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01437	Lost_in_cases	1	549	601	nan	nan	1.0	0.028741865509761388	0.028741865509761388	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504689.1	Pfam	PF01437	Lost_in_cases	2	702	753	nan	nan	1.0	0.028199566160520606	0.028199566160520606	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01833	Lost_in_cases	1	1069	1143	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01833	Lost_in_cases	2	891	972	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01833	Lost_in_cases	3	981	1063	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01403	Lost_in_cases	1	62	524	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF08337	Lost_in_cases	1	1345	1888	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01437	Lost_in_cases	1	549	601	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000514990.1	Pfam	PF01437	Lost_in_cases	2	702	753	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000504979.1	ENST00000504689.1	Pfam	PF08337	Gained_in_cases	1	nan	nan	1	43	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01833	Lost_in_cases	1	1069	1143	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01833	Lost_in_cases	2	891	972	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01833	Lost_in_cases	3	981	1063	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01403	Lost_in_cases	1	62	524	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF08337	Lost_in_cases	1	1345	1888	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01437	Lost_in_cases	1	549	601	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504979.1	Pfam	PF01437	Lost_in_cases	2	702	753	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01833	Lost_in_cases	1	1069	1143	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01833	Lost_in_cases	2	891	972	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01833	Lost_in_cases	3	981	1063	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01403	Lost_in_cases	1	62	524	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF08337	Lost_in_cases	1	1345	1888	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01437	Lost_in_cases	1	549	601	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000324093.8	ENST00000504767.5	Pfam	PF01437	Lost_in_cases	2	702	753	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000504689.1	ENST00000504979.1	Pfam	PF08337	Lost_in_cases	1	1	43	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000504689.1	ENST00000504524.5	Pfam	PF08337	Lost_in_cases	1	1	43	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000004399.12	ENST00000504524.5	ENST00000504689.1	Pfam	PF08337	Gained_in_cases	1	nan	nan	1	43	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000104419.14	ENST00000323851.11	ENST00000519278.5	Pfam	PF03096	Lost_in_cases	1	34	316	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104419.14	ENST00000323851.11	ENST00000521026.5	Pfam	PF03096	Lost_in_cases	1	34	316	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104419.14	ENST00000537882.2	ENST00000522665.5	Pfam	PF03096	Lost_in_cases	1	1	235	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104419.14	ENST00000537882.2	ENST00000522476.5	Pfam	PF03096	Nothing	1	1	235	1	250	0.0	nan	0.0	0.06	1.0	0.06
ALL	ENSG00000104419.14	ENST00000537882.2	ENST00000518094.1	Pfam	PF03096	Lost_in_cases	1	1	235	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104419.14	ENST00000323851.11	ENST00000523642.1	Pfam	PF03096	Lost_in_cases	1	34	316	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000104419.14	ENST00000537882.2	ENST00000517599.5	Pfam	PF03096	Lost_in_cases	1	1	235	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000497973.5	Pfam	PF00248	Lost_in_cases	1	17	293	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000473038.5	Pfam	PF00248	Lost_in_cases	1	17	293	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000475985.1	ENST00000372070.7	Pfam	PF00248	Gained_in_cases	1	nan	nan	17	293	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000471651.1	ENST00000475985.1	Pfam	PF00248	Lost_in_cases	1	17	116	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000476957.5	ENST00000372070.7	Pfam	PF00248	Gained_in_cases	1	nan	nan	17	293	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000372070.7	ENST00000475985.1	Pfam	PF00248	Lost_in_cases	1	17	293	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000475985.1	Pfam	PF00248	Lost_in_cases	1	17	293	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000115694.14	ENST00000494699.1	ENST00000403346.7	Pfam	PF00069	Gained_in_cases	1	nan	nan	20	270	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115694.14	ENST00000494699.1	ENST00000401869.5	Pfam	PF00069	Gained_in_cases	1	nan	nan	20	270	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115694.14	ENST00000494699.1	ENST00000405585.5	Pfam	PF00069	Gained_in_cases	1	nan	nan	4	193	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000115694.14	ENST00000535007.5	ENST00000487962.5	Pfam	PF00069	Lost_in_cases	1	1	176	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000115694.14	ENST00000462953.1	ENST00000316586.8	Pfam	PF00069	Gained_in_cases	1	nan	nan	20	270	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000144895.11	ENST00000460851.5	ENST00000273435.9	Pfam	PF08662	Nothing	1	216	411	211	406	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000144895.11	ENST00000460851.5	ENST00000472926.1	Pfam	PF08662	Lost_in_cases	1	216	411	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000144895.11	ENST00000406576.7	ENST00000487799.5	Pfam	PF08662	Nothing	1	155	350	191	386	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000144895.11	ENST00000469331.1	ENST00000487799.5	Pfam	PF08662	Gained_in_cases	1	nan	nan	191	386	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000623368.3	ENST00000525283.5	Pfam	PF00494	Lost_in_cases	1	1	255	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000079459.12	ENST00000528643.5	ENST00000525607.5	Pfam	PF00494	Lost_in_cases	1	33	234	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000079459.12	ENST00000528643.5	ENST00000525571.1	Pfam	PF00494	Lost_in_cases	1	33	234	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000079459.12	ENST00000525571.1	ENST00000538689.4	Pfam	PF00494	Gained_in_cases	1	nan	nan	1	255	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000527045.1	ENST00000443614.6	Pfam	PF00494	Gained_in_cases	1	nan	nan	119	276	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000527045.1	ENST00000443614.6	Pfam	PF00494	Gained_in_cases	2	nan	nan	48	100	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000623368.3	ENST00000529464.5	Pfam	PF00494	Lost_in_cases	1	1	255	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000079459.12	ENST00000527045.1	ENST00000530664.5	Pfam	PF00494	Gained_in_cases	1	nan	nan	1	255	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000530664.5	ENST00000443614.6	Pfam	PF00494	Nothing	1	1	255	119	276	0.16862745098039217	1.0	0.16862745098039217	0.0	nan	0.0
ALL	ENSG00000079459.12	ENST00000530664.5	ENST00000443614.6	Pfam	PF00494	Gained_in_cases	2	nan	nan	48	100	nan	nan	nan	0.32075471698113206	0.265625	0.17
ALL	ENSG00000079459.12	ENST00000525571.1	ENST00000530664.5	Pfam	PF00494	Gained_in_cases	1	nan	nan	1	255	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000079459.12	ENST00000531733.1	ENST00000530664.5	Pfam	PF00494	Gained_in_cases	1	nan	nan	1	255	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000078674.17	ENST00000522998.1	ENST00000519253.5	Pfam	PF15717	Gained_in_cases	1	nan	nan	1372	1990	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000078674.17	ENST00000524226.5	ENST00000517836.5	Pfam	PF15717	Lost_in_cases	1	1782	1834	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000078674.17	ENST00000524226.5	ENST00000517836.5	Pfam	PF15717	Lost_in_cases	2	1318	1784	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000078674.17	ENST00000518936.5	ENST00000325083.12	Pfam	PF15717	Gained_in_cases	1	nan	nan	1372	1998	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000078674.17	ENST00000518537.5	ENST00000325083.12	Pfam	PF15717	Gained_in_cases	1	nan	nan	1372	1998	nan	nan	nan	1.0	0.4090019569471624	0.4090019569471624
ALL	ENSG00000078674.17	ENST00000519802.5	ENST00000519253.5	Pfam	PF15717	Gained_in_cases	1	nan	nan	1372	1990	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000461669.5	ENST00000394780.7	Pfam	PF02338	Gained_in_cases	1	nan	nan	239	342	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000461669.5	ENST00000394780.7	Pfam	PF04101	Gained_in_cases	1	nan	nan	4	122	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000486578.4	ENST00000394780.7	Pfam	PF02338	Gained_in_cases	1	nan	nan	239	342	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000486578.4	ENST00000394780.7	Pfam	PF04101	Gained_in_cases	1	nan	nan	4	122	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000371979.7	ENST00000487243.1	Pfam	PF04101	Lost_in_cases	1	4	143	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000101901.11	ENST00000490774.2	ENST00000394780.7	Pfam	PF02338	Gained_in_cases	1	nan	nan	239	342	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000490774.2	ENST00000394780.7	Pfam	PF04101	Gained_in_cases	1	nan	nan	4	122	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000461669.5	ENST00000610588.4	Pfam	PF02338	Gained_in_cases	1	nan	nan	161	264	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000461669.5	ENST00000610588.4	Pfam	PF04101	Gained_in_cases	1	nan	nan	4	44	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000101901.11	ENST00000371979.7	ENST00000610588.4	Pfam	PF02338	Gained_in_cases	1	nan	nan	161	264	nan	nan	nan	1.0	0.10307234886025768	0.10307234886025768
ALL	ENSG00000101901.11	ENST00000371979.7	ENST00000610588.4	Pfam	PF04101	Nothing	1	4	143	4	44	0.6714285714285714	0.7899159663865546	0.5696969696969697	0.024390243902439025	0.25	0.022727272727272728
ALL	ENSG00000101901.11	ENST00000473389.5	ENST00000622986.3	Pfam	PF04101	Nothing	1	4	127	4	122	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000101901.11	ENST00000495283.5	ENST00000622986.3	Pfam	PF04101	Gained_in_cases	1	nan	nan	4	122	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000116584.17	ENST00000361247.8	ENST00000476273.1	Pfam	PF00621	Lost_in_cases	1	239	430	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000116584.17	ENST00000608543.1	ENST00000313695.11	Pfam	PF00621	Gained_in_cases	1	nan	nan	211	402	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000116584.17	ENST00000313695.11	ENST00000608543.1	Pfam	PF00621	Lost_in_cases	1	211	402	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000116584.17	ENST00000470975.2	ENST00000313667.8	Pfam	PF00621	Gained_in_cases	1	nan	nan	238	429	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000116584.17	ENST00000361247.8	ENST00000470975.2	Pfam	PF00621	Lost_in_cases	1	239	430	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000161013.16	ENST00000292591.11	ENST00000523382.5	Pfam	PF04666	Lost_in_cases	1	109	387	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000161013.16	ENST00000292591.11	ENST00000519965.1	Pfam	PF04666	Lost_in_cases	1	109	387	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000161013.16	ENST00000337755.9	ENST00000521855.1	Pfam	PF04666	Lost_in_cases	1	124	402	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000161013.16	ENST00000292591.11	ENST00000520822.5	Pfam	PF04666	Lost_in_cases	1	109	387	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000078304.19	ENST00000445439.7	ENST00000556946.1	Pfam	PF01603	Lost_in_cases	1	29	437	nan	nan	0.9902200488997555	0.9712230215827338	0.9619952494061758	nan	nan	nan
ALL	ENSG00000078304.19	ENST00000445439.7	ENST00000554442.5	Pfam	PF01603	Lost_in_cases	1	29	437	nan	nan	1.0	0.910913140311804	0.910913140311804	nan	nan	nan
ALL	ENSG00000078304.19	ENST00000334743.9	ENST00000328724.9	Pfam	PF01603	Nothing	1	29	437	82	492	0.009779951100244499	0.125	0.009153318077803204	0.014598540145985401	0.06896551724137931	0.012195121951219513
ALL	ENSG00000078304.19	ENST00000554147.1	ENST00000334743.9	Pfam	PF01603	Gained_in_cases	1	nan	nan	29	437	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000078304.19	ENST00000445439.7	ENST00000553730.5	Pfam	PF01603	Lost_in_cases	1	29	437	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF02295	Nothing	1	295	358	1	63	0.015625	0.003389830508474576	0.002793296089385475	0.0	nan	0.0
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF02295	Lost_in_cases	2	135	200	nan	nan	1.0	0.22372881355932203	0.22372881355932203	nan	nan	nan
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF02137	Nothing	1	886	1215	591	920	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF00035	Nothing	1	728	792	320	385	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF00035	Nothing	2	615	680	209	272	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000160710.15	ENST00000368474.8	ENST00000368471.7	Pfam	PF00035	Nothing	3	504	567	433	497	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000539609.7	Pfam	PF00096	Nothing	1	195	217	nan	nan	0.0	nan	0.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000539609.7	Pfam	PF05605	Nothing	1	124	175	187	238	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000453352.5	Pfam	PF00096	Lost_in_cases	1	195	217	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000453352.5	Pfam	PF05605	Lost_in_cases	1	124	175	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000303660.8	ENST00000461784.3	Pfam	PF05605	Lost_in_cases	1	210	261	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000472146.5	Pfam	PF00096	Lost_in_cases	1	195	217	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000472146.5	Pfam	PF05605	Lost_in_cases	1	124	175	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000558170.6	Pfam	PF00096	Nothing	1	195	217	nan	nan	0.0	nan	0.0	nan	nan	nan
ALL	ENSG00000169554.18	ENST00000419938.5	ENST00000558170.6	Pfam	PF05605	Nothing	1	124	175	211	262	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000138796.16	ENST00000626637.1	ENST00000510728.5	Pfam	PF00725	Lost_in_cases	1	220	317	nan	nan	1.0	1.0	1.0	nan	nan	nan
