Experiment	GeneId	Transcript	Expression	Feature_type	Feature	Index	Length	Start	End
ALL	ENSG00000178082.6	ENST00000580812.1	0.0899993468124429	Transcript					
ALL	ENSG00000114933.15	ENST00000403263.5	5.6601690300424945	Transcript					
ALL	ENSG00000114933.15	ENST00000403263.5	5.6601690300424945	Pfam	PF13891	1	62	18	80
ALL	ENSG00000114933.15	ENST00000403263.5	5.6601690300424945	Pfam	PF13891	1	64	447	511
ALL	ENSG00000278588.1	ENST00000377733.3	1.40004180084213	Transcript					
ALL	ENSG00000278588.1	ENST00000377733.3	1.40004180084213	Pfam	PF00125	1	69	32	101
ALL	ENSG00000278588.1	ENST00000377733.3	1.40004180084213	Prosite	PS00357	1	22	93	115
ALL	ENSG00000269353.1	ENST00000597260.1	0.04999854862398112	Transcript					
ALL	ENSG00000254332.1	ENST00000520239.1	0.319989942599089	Transcript					
ALL	ENSG00000248873.1	ENST00000507707.1	0.060001985048514034	Transcript					
ALL	ENSG00000278954.1	ENST00000622936.1	0.019999517644104813	Transcript					
ALL	ENSG00000157837.15	ENST00000353487.6	9.200059520694234	Transcript					
ALL	ENSG00000157837.15	ENST00000353487.6	9.200059520694234	Pfam	PF04258	1	308	61	369
ALL	ENSG00000177990.11	ENST00000324472.8	0.019999517644104813	Transcript					
ALL	ENSG00000177990.11	ENST00000324472.8	0.019999517644104813	Pfam	PF10034	1	644	113	757
ALL	ENSG00000267091.1	ENST00000593270.1	0.12999648446658976	Transcript					
ALL	ENSG00000259417.2	ENST00000560778.2	0.029999741597562815	Transcript					
ALL	ENSG00000258449.1	ENST00000555862.1	0.3800097970829733	Transcript					
ALL	ENSG00000275437.1	ENST00000616512.1	0.23000564311170585	Transcript					
ALL	ENSG00000258917.1	ENST00000554267.1	0.20000454105956791	Transcript					
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Transcript					
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF13415	1	49	185	234
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF13415	1	56	127	183
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF13415	1	48	78	126
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF01344	1	43	283	326
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF13854	1	35	384	419
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF00651	1	125	436	561
ALL	ENSG00000099949.18	ENST00000215739.12	4.010105743604311	Pfam	PF00651	1	88	665	753
ALL	ENSG00000232926.1	ENST00000420617.1	0.43001201741405454	Transcript					
ALL	ENSG00000280560.1	ENST00000629067.1	9.529817726455496	Transcript					
ALL	ENSG00000254582.1	ENST00000526365.1	0.040000917377944104	Transcript					
ALL	ENSG00000226327.3	ENST00000445182.2	0.18000481741051896	Transcript					
ALL	ENSG00000273353.1	ENST00000610217.1	0.6200149910276705	Transcript					
ALL	ENSG00000244252.1	ENST00000445201.1	0.18999410294428817	Transcript					
ALL	ENSG00000104613.11	ENST00000397977.7	10.629960174637617	Transcript					
ALL	ENSG00000233762.3	ENST00000433675.1	23.419500472573688	Transcript					
ALL	ENSG00000279590.1	ENST00000623369.1	0.060001985048514034	Transcript					
ALL	ENSG00000265369.3	ENST00000579458.1	0.060001985048514034	Transcript					
ALL	ENSG00000271882.1	ENST00000607176.1	1.1400009556798867	Transcript					
ALL	ENSG00000278600.1	ENST00000618835.1	2.140022563692785	Transcript					
ALL	ENSG00000280334.1	ENST00000624046.1	0.04999854862398112	Transcript					
ALL	ENSG00000268573.1	ENST00000586922.2	0.3100029133246172	Transcript					
ALL	ENSG00000226268.3	ENST00000526165.1	2.080033226748481	Transcript					
ALL	ENSG00000170881.4	ENST00000303545.3	39.65040274927217	Transcript					
ALL	ENSG00000170881.4	ENST00000303545.3	39.65040274927217	Pfam	PF13639	1	40	545	585
ALL	ENSG00000170881.4	ENST00000303545.3	39.65040274927217	Pfam	PF13705	1	498	18	516
ALL	ENSG00000265185.5	ENST00000577988.2	9.85020359398616	Transcript					
ALL	ENSG00000188396.3	ENST00000339355.2	0.6299947907347176	Transcript					
ALL	ENSG00000188396.3	ENST00000339355.2	0.6299947907347176	Pfam	PF03645	1	97	123	220
ALL	ENSG00000273295.1	ENST00000609510.1	0.2199972005936865	Transcript					
ALL	ENSG00000177181.14	ENST00000431473.3	0.009999639102394372	Transcript					
ALL	ENSG00000177181.14	ENST00000431473.3	0.009999639102394372	Pfam	PF08443	1	187	110	297
ALL	ENSG00000275882.1	ENST00000612193.1	0.10999757015245683	Transcript					
ALL	ENSG00000241983.3	ENST00000467650.3	0.6299947907347176	Transcript					
ALL	ENSG00000182742.5	ENST00000332503.5	0.040000917377944104	Transcript					
ALL	ENSG00000182742.5	ENST00000332503.5	0.040000917377944104	Pfam	PF00046	1	56	163	219
ALL	ENSG00000182742.5	ENST00000332503.5	0.040000917377944104	Prosite	PS00032	1	5	141	146
ALL	ENSG00000182742.5	ENST00000332503.5	0.040000917377944104	Prosite	PS00027	1	23	195	218
ALL	ENSG00000131484.4	ENST00000588189.1	0.7500079057650569	Transcript					
ALL	ENSG00000238241.1	ENST00000446203.1	0.029999741597562815	Transcript					
ALL	ENSG00000279202.1	ENST00000624179.1	0.12000176527428984	Transcript					
ALL	ENSG00000236078.1	ENST00000429010.1	0.04999854862398112	Transcript					
ALL	ENSG00000188206.6	ENST00000366527.3	6.149910568710157	Transcript					
ALL	ENSG00000260455.1	ENST00000566912.1	0.1700037656548274	Transcript					
ALL	ENSG00000121318.2	ENST00000240619.2	0.04999854862398112	Transcript					
ALL	ENSG00000121318.2	ENST00000240619.2	0.04999854862398112	Pfam	PF05296	1	295	1	296
ALL	ENSG00000272842.1	ENST00000609609.1	1.9299355347553644	Transcript					
ALL	ENSG00000253347.1	ENST00000523101.1	0.14999785912328753	Transcript					
ALL	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Transcript					
