Experiment	GeneId	Transcript	Expression	Feature_type	Feature	Index	Length	Start	End
AML	ENSG00000178082.6	ENST00000580812.1	0.0700018290491679	Transcript					
AML	ENSG00000114933.15	ENST00000403263.5	2.670037072663114	Transcript					
AML	ENSG00000114933.15	ENST00000403263.5	2.670037072663114	Pfam	PF13891	1	62	18	80
AML	ENSG00000114933.15	ENST00000403263.5	2.670037072663114	Pfam	PF13891	1	64	447	511
AML	ENSG00000278588.1	ENST00000377733.3	0.8799914970163208	Transcript					
AML	ENSG00000278588.1	ENST00000377733.3	0.8799914970163208	Pfam	PF00125	1	69	32	101
AML	ENSG00000278588.1	ENST00000377733.3	0.8799914970163208	Prosite	PS00357	1	22	93	115
AML	ENSG00000254332.1	ENST00000520239.1	0.23000564311170585	Transcript					
AML	ENSG00000248873.1	ENST00000507707.1	0.029999741597562815	Transcript					
AML	ENSG00000278954.1	ENST00000622936.1	0.009999639102394372	Transcript					
AML	ENSG00000157837.15	ENST00000353487.6	5.420154035757855	Transcript					
AML	ENSG00000157837.15	ENST00000353487.6	5.420154035757855	Pfam	PF04258	1	308	61	369
AML	ENSG00000177990.11	ENST00000324472.8	0.279991812670302	Transcript					
AML	ENSG00000177990.11	ENST00000324472.8	0.279991812670302	Pfam	PF10034	1	644	113	757
AML	ENSG00000267091.1	ENST00000593270.1	0.029999741597562815	Transcript					
AML	ENSG00000259417.2	ENST00000560778.2	0.029999741597562815	Transcript					
AML	ENSG00000258449.1	ENST00000555862.1	0.029999741597562815	Transcript					
AML	ENSG00000227014.5	ENST00000422239.5	0.019999517644104813	Transcript					
AML	ENSG00000275437.1	ENST00000616512.1	0.0899993468124429	Transcript					
AML	ENSG00000258917.1	ENST00000554267.1	0.04999854862398112	Transcript					
AML	ENSG00000186451.1	ENST00000334325.1	0.009999639102394372	Transcript					
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Transcript					
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF13415	1	49	185	234
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF13415	1	56	127	183
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF13415	1	48	78	126
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF01344	1	43	283	326
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF13854	1	35	384	419
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF00651	1	125	436	561
AML	ENSG00000099949.18	ENST00000215739.12	2.170060606139105	Pfam	PF00651	1	88	665	753
AML	ENSG00000232926.1	ENST00000420617.1	0.14999785912328753	Transcript					
AML	ENSG00000280560.1	ENST00000629067.1	0.6700071293324552	Transcript					
AML	ENSG00000273353.1	ENST00000610217.1	0.6499867118277892	Transcript					
AML	ENSG00000104613.11	ENST00000397977.7	9.02007898277644	Transcript					
AML	ENSG00000233762.3	ENST00000433675.1	22.13925602334103	Transcript					
AML	ENSG00000265369.3	ENST00000579458.1	1.880000197056386	Transcript					
AML	ENSG00000271882.1	ENST00000607176.1	0.3899890203948566	Transcript					
AML	ENSG00000278600.1	ENST00000618835.1	1.790043031685128	Transcript					
AML	ENSG00000280334.1	ENST00000624046.1	0.009999639102394372	Transcript					
AML	ENSG00000268573.1	ENST00000586922.2	0.23000564311170585	Transcript					
AML	ENSG00000226268.3	ENST00000526165.1	1.4900204035413804	Transcript					
AML	ENSG00000170881.4	ENST00000303545.3	24.870127385955247	Transcript					
AML	ENSG00000170881.4	ENST00000303545.3	24.870127385955247	Pfam	PF13639	1	40	545	585
AML	ENSG00000170881.4	ENST00000303545.3	24.870127385955247	Pfam	PF13705	1	498	18	516
AML	ENSG00000227213.1	ENST00000430733.1	0.040000917377944104	Transcript					
AML	ENSG00000265185.5	ENST00000577988.2	3.7599574907099855	Transcript					
AML	ENSG00000188396.3	ENST00000339355.2	0.599984629986704	Transcript					
AML	ENSG00000188396.3	ENST00000339355.2	0.599984629986704	Pfam	PF03645	1	97	123	220
AML	ENSG00000273295.1	ENST00000609510.1	0.04999854862398112	Transcript					
AML	ENSG00000177181.14	ENST00000431473.3	0.009999639102394372	Transcript					
AML	ENSG00000177181.14	ENST00000431473.3	0.009999639102394372	Pfam	PF08443	1	187	110	297
AML	ENSG00000275882.1	ENST00000612193.1	0.060001985048514034	Transcript					
AML	ENSG00000241983.3	ENST00000467650.3	0.12000176527428984	Transcript					
AML	ENSG00000182742.5	ENST00000332503.5	0.12999648446658976	Transcript					
AML	ENSG00000182742.5	ENST00000332503.5	0.12999648446658976	Pfam	PF00046	1	56	163	219
AML	ENSG00000182742.5	ENST00000332503.5	0.12999648446658976	Prosite	PS00032	1	5	141	146
AML	ENSG00000182742.5	ENST00000332503.5	0.12999648446658976	Prosite	PS00027	1	23	195	218
AML	ENSG00000131484.4	ENST00000588189.1	0.14000321863040419	Transcript					
AML	ENSG00000279202.1	ENST00000624179.1	0.009999639102394372	Transcript					
AML	ENSG00000188206.6	ENST00000366527.3	2.640028737848038	Transcript					
AML	ENSG00000260455.1	ENST00000566912.1	0.019999517644104813	Transcript					
AML	ENSG00000272842.1	ENST00000609609.1	0.7899728059120321	Transcript					
AML	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Transcript					
AML	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF08526	1	111	9	120
AML	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF03068	1	406	288	694
AML	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF08527	1	159	122	281
AML	ENSG00000240733.3	ENST00000481857.3	0.5700147825599464	Transcript					
