Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000497973.5	Prosite	PS00798	Lost_in_cases	1	40	57	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000497973.5	Prosite	PS00062	Lost_in_cases	1	147	164	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000497973.5	Prosite	PS00063	Lost_in_cases	1	261	276	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000473038.5	Prosite	PS00798	Lost_in_cases	1	40	57	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000473038.5	Prosite	PS00062	Lost_in_cases	1	147	164	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000351829.8	ENST00000473038.5	Prosite	PS00063	Lost_in_cases	1	261	276	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000475985.1	ENST00000372070.7	Prosite	PS00798	Gained_in_cases	1	nan	nan	40	57	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000475985.1	ENST00000372070.7	Prosite	PS00062	Gained_in_cases	1	nan	nan	147	164	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000475985.1	ENST00000372070.7	Prosite	PS00063	Gained_in_cases	1	nan	nan	261	276	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000471651.1	ENST00000475985.1	Prosite	PS00798	Lost_in_cases	1	40	57	nan	nan	1.0	1.0	1.0	nan	nan	nan
ALL	ENSG00000117448.13	ENST00000476957.5	ENST00000372070.7	Prosite	PS00798	Gained_in_cases	1	nan	nan	40	57	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000117448.13	ENST00000476957.5	ENST00000372070.7	Prosite	PS00062	Gained_in_cases	1	nan	nan	147	164	nan	nan	nan	1.0	1.0	1.0
