Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples	Pfam_change	Prosite_change	Functional	p_recurrent
ALL	ENSG00000172575.11	RASGRP1	ENST00000310803.9	ENST00000539159.5	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPGFP-04,TARGET-10-PAPLDM-04,TARGET-10-PAPNMY-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PARMSP-04,TARGET-10-PARNMF-04,TARGET-10-PATCTI-04	No	9	FALSE	FALSE	No	8.969682245420389e-4
ALL	ENSG00000139636.15	LMBR1L	ENST00000267102.12	ENST00000547382.5	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PANYYV-04,TARGET-10-PAPIJB-04,TARGET-10-PAPISG-04,TARGET-10-PAPLDL-04,TARGET-10-PAPNMY-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARFTR-04,TARGET-10-PARIAD-04,TARGET-10-PARMSP-04,TARGET-10-PASFXA-04	No	14	FALSE	FALSE	No	2.0439219173578822e-7
ALL	ENSG00000224699.8	LAMTOR5-AS1	ENST00000457535.5	ENST00000587691.1	0	0	0	1	TARGET-10-PAPEAB-04,TARGET-10-PAPMFI-04,TARGET-10-PARFLV-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000196295.11	AC005154.6	ENST00000578572.1	ENST00000583664.5	0	0	0	1	TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000184203.7	PPP1R2	ENST00000618156.4	ENST00000625807.1	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPGFP-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PASFXA-04,TARGET-10-PATCTI-04	Driver interactor	12	FALSE	FALSE	No	7.676337997265724e-6
ALL	ENSG00000120253.13	NUP43	ENST00000340413.6	ENST00000367404.8	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPAGK-04,TARGET-10-PAPEAB-04,TARGET-10-PAPGFP-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04,TARGET-10-PARMXF-04,TARGET-10-PASFXA-04	Driver interactor	11	TRUE	TRUE	Yes	4.1328169372273295e-5
ALL	ENSG00000110429.13	FBXO3	ENST00000530401.5	ENST00000265651.7	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PARGVZ-04,TARGET-10-PARIAD-04	Driver interactor	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000166266.13	CUL5	ENST00000393094.6	ENST00000531427.5	1	0	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDWT-04,TARGET-10-PAPGFP-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PARAKF-04,TARGET-10-PARBRK-04,TARGET-10-PARGFV-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04	Driver interactor	11	TRUE	TRUE	Yes	4.1328169372273295e-5
ALL	ENSG00000151093.7	OXSM	ENST00000280701.7	ENST00000626005.1	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PANTSM-04,TARGET-10-PAPLDL-04,TARGET-10-PAPSPG-04,TARGET-10-PARBVI-04,TARGET-10-PARFTR-04,TARGET-10-PARXMC-04,TARGET-10-PATCTI-04	No	8	TRUE	TRUE	Yes	0.003561269920028516
ALL	ENSG00000144747.14	TMF1	ENST00000398559.6	ENST00000543976.2	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPGFP-04,TARGET-10-PAPHJF-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PAPVTA-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04,TARGET-10-PARJSR-04,TARGET-10-PARLAF-04	No	10	FALSE	FALSE	No	2.0252001847764057e-4
ALL	ENSG00000176853.15	FAM91A1	ENST00000334705.11	ENST00000521166.5	1	1	1	1	TARGET-10-PAPLDL-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARFTR-04,TARGET-10-PARGVZ-04,TARGET-10-PARLAF-04,TARGET-10-PASFXA-04	No	10	FALSE	FALSE	No	2.0252001847764057e-4
ALL	ENSG00000068831.18	RASGRP2	ENST00000377497.7	ENST00000377487.5	1	1	1	1	TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARIAD-04,TARGET-10-PASKAY-04	No	4	TRUE	TRUE	Yes	0.2372378134479852
ALL	ENSG00000065717.14	TLE2	ENST00000262953.10	ENST00000443826.7	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPGFP-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDM-04,TARGET-10-PARJZZ-04,TARGET-10-PARMSP-04	Driver interactor	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000170909.13	OSCAR	ENST00000391761.5	ENST00000359649.8	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PANYYV-04,TARGET-10-PAPLTZ-04,TARGET-10-PAPNNX-04,TARGET-10-PARAKF-04,TARGET-10-PARFTR-04,TARGET-10-PATCTI-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000136271.10	DDX56	ENST00000258772.9	ENST00000431640.5	1	1	1	1	TARGET-10-PANXPE-04,TARGET-10-PANYGB-04,TARGET-10-PAPEAB-04,TARGET-10-PAPMFI-04,TARGET-10-PAPNMY-04,TARGET-10-PAPSPN-04,TARGET-10-PARAKF-04,TARGET-10-PARFLV-04,TARGET-10-PARGFV-04	No	9	TRUE	FALSE	Yes	8.969682245420389e-4
ALL	ENSG00000070018.8	LRP6	ENST00000261349.8	ENST00000543091.1	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARAKF-04,TARGET-10-PARBRK-04,TARGET-10-PARFTR-04,TARGET-10-PARGHW-04	Driver interactor	9	TRUE	TRUE	Yes	8.969682245420389e-4
ALL	ENSG00000111711.9	GOLT1B	ENST00000229314.9	ENST00000631252.2	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPNFY-04,TARGET-10-PARAKF-04,TARGET-10-PARBVI-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000110880.10	CORO1C	ENST00000261401.7	ENST00000421578.6	1	1	1	1	TARGET-10-PANSDA-04,TARGET-10-PAPAGK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPVTA-04,TARGET-10-PARIAD-04,TARGET-10-PATCTI-04	Driver interactor	6	TRUE	FALSE	Yes	0.03882977718575788
ALL	ENSG00000213928.8	IRF9	ENST00000557894.5	ENST00000396864.7	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPDJM-04,TARGET-10-PAPISG-04,TARGET-10-PAPJIB-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZST-04,TARGET-10-PARGFV-04,TARGET-10-PARGHW-04,TARGET-10-PARIAD-04	No	9	TRUE	TRUE	Yes	8.969682245420389e-4
ALL	ENSG00000076604.14	TRAF4	ENST00000262395.9	ENST00000618771.1	1	1	1	1	TARGET-10-PANZPJ-04,TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04,TARGET-10-PARGVZ-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	Driver interactor	8	TRUE	FALSE	Yes	0.003561269920028516
ALL	ENSG00000161405.16	IKZF3	ENST00000346872.7	ENST00000583368.1	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PARGHW-04,TARGET-10-PARMXF-04	Driver	3	TRUE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000089682.16	RBM41	ENST00000372487.5	ENST00000372479.7	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARGHW-04,TARGET-10-PASKAY-04,TARGET-10-PATCTI-04	No	9	FALSE	FALSE	No	8.969682245420389e-4
ALL	ENSG00000203747.9	FCGR3A	ENST00000367967.7	ENST00000436743.5	1	1	0	1	TARGET-10-PAPACP-04,TARGET-10-PAPEJN-04,TARGET-10-PAPJHB-04,TARGET-10-PAPLTZ-04,TARGET-10-PARJSR-04,TARGET-10-PARMSP-04	Driver	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000123600.18	METTL8	ENST00000612742.4	ENST00000375258.8	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPLDL-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04,TARGET-10-PARIAD-04,TARGET-10-PARPRW-04	No	8	FALSE	FALSE	No	0.003561269920028516
ALL	ENSG00000159674.11	SPON2	ENST00000290902.9	ENST00000431380.5	1	1	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPDWT-04,TARGET-10-PAPEFH-04,TARGET-10-PAPZST-04,TARGET-10-PARGVZ-04,TARGET-10-PARLAF-04,TARGET-10-PARNMF-04,TARGET-10-PARXMC-04	No	8	FALSE	FALSE	No	0.003561269920028516
ALL	ENSG00000138674.16	SEC31A	ENST00000443462.6	ENST00000508502.5	1	1	1	1	TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARPRW-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000151292.17	CSNK1G3	ENST00000345990.8	ENST00000521364.5	1	1	0	1	TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARGHW-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000104643.9	MTMR9	ENST00000221086.7	ENST00000526292.1	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PARJZZ-04	No	8	FALSE	FALSE	No	0.003561269920028516
ALL	ENSG00000186918.13	ZNF395	ENST00000344423.9	ENST00000523095.5	1	1	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPNFY-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PARAKF-04,TARGET-10-PARBVI-04,TARGET-10-PARMXF-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000151553.14	FAM160B1	ENST00000369248.8	ENST00000369246.1	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000173262.11	SLC2A14	ENST00000542546.5	ENST00000616981.4	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDUV-04,TARGET-10-PAPNFY-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000140332.15	TLE3	ENST00000557907.5	ENST00000451782.6	1	1	1	1	TARGET-10-PAPLDM-04,TARGET-10-PARFTR-04,TARGET-10-PARGVZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000103351.12	CLUAP1	ENST00000576634.5	ENST00000341633.9	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PARFTR-04,TARGET-10-PARJSR-04,TARGET-10-PARPRW-04,TARGET-10-PASFXA-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000007237.18	GAS7	ENST00000437099.6	ENST00000323816.8	1	1	1	1	TARGET-10-PAPEJN-04,TARGET-10-PAPMVB-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PARXMC-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000154803.12	FLCN	ENST00000285071.8	ENST00000389169.9	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPJIB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04,TARGET-10-PATCTI-04	Driver	8	FALSE	FALSE	No	0.003561269920028516
ALL	ENSG00000204070.9	SYS1	ENST00000243918.9	ENST00000372727.5	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPISG-04,TARGET-10-PARJZZ-04,TARGET-10-PARPRW-04,TARGET-10-PARXMC-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000234353.2	AP000347.4	ENST00000430707.2	ENST00000425948.2	0	0	0	1	TARGET-10-PAPGFP-04,TARGET-10-PAPMFI-04,TARGET-10-PAPRCS-04,TARGET-10-PAPVTA-04,TARGET-10-PARAKF-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04,TARGET-10-PATCTI-04	No	8	FALSE	FALSE	No	0.003561269920028516
ALL	ENSG00000186654.20	PRR5	ENST00000336985.10	ENST00000006251.11	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZST-04,TARGET-10-PARJZZ-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000147118.10	ZNF182	ENST00000305127.7	ENST00000376943.7	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPZNK-04,TARGET-10-PARNMF-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000162437.14	RAVER2	ENST00000371072.8	ENST00000294428.7	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARJZZ-04,TARGET-10-PARMSP-04,TARGET-10-PASKAY-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000143320.8	CRABP2	ENST00000368222.7	ENST00000368221.1	1	1	0	1	TARGET-10-PAPDWT-04,TARGET-10-PAPIJB-04,TARGET-10-PAPMVB-04,TARGET-10-PAPSPN-04,TARGET-10-PARGFV-04,TARGET-10-PARGVZ-04,TARGET-10-PARXMC-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000158769.17	F11R	ENST00000368026.10	ENST00000537746.1	1	1	1	1	TARGET-10-PAPLDL-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPVTA-04,TARGET-10-PARBRK-04,TARGET-10-PARFLV-04,TARGET-10-PARXMC-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000217702.2	RP11-287D1.4	ENST00000401851.2	ENST00000616370.1	0	0	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPISG-04,TARGET-10-PAPLDL-04,TARGET-10-PAPMFI-04,TARGET-10-PAPZNK-04,TARGET-10-PARGFV-04,TARGET-10-PARNMF-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000163933.9	RFT1	ENST00000296292.7	ENST00000394738.7	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPAGK-04,TARGET-10-PAPJIB-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000121864.9	ZNF639	ENST00000484866.5	ENST00000496856.5	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPRCS-04,TARGET-10-PATCTI-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000163960.11	UBXN7	ENST00000296328.8	ENST00000428095.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PARBRK-04,TARGET-10-PARGVZ-04,TARGET-10-PATCTI-04	Driver interactor	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000214135.8	AC024560.3	ENST00000418868.5	ENST00000453454.5	0	0	0	1	TARGET-10-PANXPE-04,TARGET-10-PAPACP-04,TARGET-10-PAPLDM-04,TARGET-10-PAPVTA-04,TARGET-10-PARIAD-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000138756.17	BMP2K	ENST00000502871.5	ENST00000335016.9	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PARAKF-04,TARGET-10-PARFLV-04,TARGET-10-PARLAF-04,TARGET-10-PATCTI-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000134987.11	WDR36	ENST00000612402.4	ENST00000513710.3	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000120709.10	FAM53C	ENST00000239906.9	ENST00000434981.6	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PARJSR-04,TARGET-10-PARLAF-04,TARGET-10-PARXMC-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000161010.14	C5orf45	ENST00000518219.5	ENST00000518235.5	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPZST-04,TARGET-10-PARMSP-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000185250.15	PPIL6	ENST00000440797.6	ENST00000424445.6	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPLDM-04,TARGET-10-PAPLTZ-04,TARGET-10-PASHUI-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000170852.10	KBTBD2	ENST00000304056.8	ENST00000621876.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPNNX-04,TARGET-10-PARAKF-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04,TARGET-10-PARPRW-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000106211.8	HSPB1	ENST00000248553.6	ENST00000429938.1	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PANZPJ-04,TARGET-10-PAPDUV-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARMXF-04	Driver interactor	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000137101.12	CD72	ENST00000259633.8	ENST00000396757.5	1	1	0	1	TARGET-10-PANXPE-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04,TARGET-10-PARLAF-04,TARGET-10-PARNMF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000156515.21	HK1	ENST00000359426.6	ENST00000298649.7	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPDUV-04,TARGET-10-PAPJIB-04,TARGET-10-PAPMVB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PASHUI-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000255139.1	AP000442.1	ENST00000531311.1	ENST00000531108.1	0	0	0	1	TARGET-10-PAPIJB-04,TARGET-10-PAPISG-04,TARGET-10-PAPJIB-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBRK-04,TARGET-10-PARGVZ-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000073921.17	PICALM	ENST00000526033.5	ENST00000532317.5	1	1	1	1	TARGET-10-PAPHJF-04,TARGET-10-PARJSR-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000120860.10	CCDC53	ENST00000240079.10	ENST00000545679.5	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPEFH-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZST-04,TARGET-10-PARFTR-04,TARGET-10-PASKAY-04,TARGET-10-PATCTI-04	No	7	FALSE	FALSE	No	0.01255265901386819
